name,type,start_time,duration,"error","data"
"ch1","data",2.5152125,0.000082,"framing",0x72
"ch1","data",2.515346,0.000082,"framing",0x6C
"ch1","data",2.5154795,0.000082,"framing",0x73
"ch1","data",2.515613,0.000082,"framing",0x6C
"ch1","data",2.5329875,0.000082,"framing",0x0C
"ch1","data",2.533094,0.000082,,0xF2
"ch1","data",2.5331875,0.000082,,0x6E
"ch1","data",2.533321,0.000082,"framing",0x6E
"ch1","data",2.533441,0.000082,"framing",0x9E
"ch1","data",2.533548,0.000082,"framing",0xEC
"ch1","data",2.5336545,0.000082,,0x7C
"ch1","data",2.5337615,0.000082,"framing",0xF3
"ch1","data",2.533895,0.000082,"framing",0x03
"ch1","data",2.534015,0.000082,"framing",0x8C
"ch1","data",2.534162,0.000082,,0xF3
"ch1","data",2.534255,0.000082,,0x6E
"ch1","data",2.5343485,0.000082,"framing",0xEE
"ch1","data",2.5344555,0.000082,,0x00
"ch1","data",2.534549,0.000082,"framing",0x0C
"ch1","data",2.5346825,0.000082,,0x8C
"ch1","data",2.534789,0.000082,,0x62
"ch1","data",2.5348825,0.000082,"framing",0x0E
"ch1","data",2.534989,0.000082,"framing",0x6C
"ch1","data",2.563699,0.000082,,0x0C
"ch1","data",2.5638055,0.000082,,0xF2
"ch1","data",2.563899,0.000082,,0x6E
"ch1","data",2.5640325,0.000082,"framing",0x6E
"ch1","data",2.5641525,0.000082,"framing",0x9E
"ch1","data",2.564326,0.000082,,0x8C
"ch1","data",2.564433,0.000082,,0x6F
"ch1","data",2.5645665,0.000082,"framing",0x6F
"ch1","data",2.5646865,0.000082,"framing",0x9F
"ch1","data",2.56486,0.000082,"framing",0xEC
"ch1","data",2.5650065,0.000082,"framing",0x92
"ch1","data",2.56514,0.000082,"framing",0x82
"ch1","data",2.5652735,0.000082,,0x92
"ch1","data",2.565367,0.000082,"framing",0x60
"ch1","data",2.565474,0.000082,,0x03
"ch1","data",2.565567,0.000082,,0x7E
"ch1","data",2.565674,0.000082,"framing",0x82
"ch1","data",2.5658075,0.000082,"framing",0x12
"ch1","data",2.565941,0.000082,"framing",0x13
"ch1","data",2.566061,0.000082,"framing",0x0C
"ch1","data",2.5661945,0.000082,,0x8C
"ch1","data",2.566301,0.000082,,0x6E
"ch1","data",2.5664345,0.000082,"framing",0x6E
"ch1","data",2.566555,0.000082,"framing",0x9F
"ch1","data",2.5667285,0.000082,"framing",0xEC
"ch1","data",2.566875,0.000082,"framing",0x92
"ch1","data",2.5670085,0.000082,"framing",0x82
"ch1","data",2.567142,0.000082,,0x92
"ch1","data",2.5672355,0.000082,"framing",0x60
"ch1","data",2.567342,0.000082,,0x02
"ch1","data",2.5674355,0.000082,,0x7E
"ch1","data",2.5675425,0.000082,"framing",0x82
"ch1","data",2.567676,0.000082,"framing",0x13
"ch1","data",2.5678095,0.000082,"framing",0x63
"ch1","data",2.5679295,0.000082,"framing",0x0C
"ch1","data",2.568063,0.000082,,0x8C
"ch1","data",2.5681695,0.000082,,0x6E
"ch1","data",2.568303,0.000082,"framing",0x6E
"ch1","data",2.5684235,0.000082,"framing",0x9F
"ch1","data",2.568597,0.000082,"framing",0xEC
"ch1","data",2.5687435,0.000082,"framing",0x92
"ch1","data",2.568877,0.000082,"framing",0x82
"ch1","data",2.5690105,0.000082,,0x92
"ch1","data",2.569104,0.000082,"framing",0x60
"ch1","data",2.5692105,0.000082,,0x02
"ch1","data",2.569304,0.000082,,0xFC
"ch1","data",2.5693975,0.000082,,0x8C
"ch1","data",2.569531,0.000082,"framing",0x0C
"ch1","data",2.5696645,0.000082,"framing",0x0C
"ch1","data",2.569798,0.000082,"framing",0x0C
"ch1","data",2.5699295,0.000082,,0xFF
"ch1","data",2.570778,0.000082,,0x33
"ch1","data",2.5708645,0.000082,,0x66
"ch1","data",2.5709515,0.000082,,0x63
"ch1","data",2.571038,0.000082,,0x2C
"ch1","data",2.571125,0.000082,,0x30
"ch1","data",2.5712115,0.000082,,0x78
"ch1","data",2.5712985,0.000082,,0x33
"ch1","data",2.571385,0.000082,,0x66
"ch1","data",2.571472,0.000082,,0x63
"ch1","data",2.5715585,0.000082,,0x30
"ch1","data",2.5716455,0.000082,,0x30
"ch1","data",2.571732,0.000082,,0x30
"ch1","data",2.5852625,0.000082,,0x8C
"ch1","data",2.5853695,0.000082,"framing",0xE3
"ch1","data",2.585503,0.000082,"framing",0x03
"ch1","data",2.585623,0.000082,"framing",0xEC
"ch1","data",2.58577,0.000082,"framing",0x13
"ch1","data",2.5859035,0.000082,,0x83
"ch1","data",2.5859965,0.000082,"framing",0x6E
"ch1","data",2.586157,0.000082,"framing",0xEC
"ch1","data",2.586304,0.000082,"framing",0x93
"ch1","data",2.5864375,0.000082,"framing",0x73
"ch1","data",2.586571,0.000082,"framing",0x83
"ch1","data",2.5867045,0.000082,,0xF3
"ch1","data",2.5867975,0.000082,"framing",0x6E
"ch1","data",2.5869045,0.000082,,0x7C
"ch1","data",2.586998,0.000082,,0xEC
"ch1","data",2.5870915,0.000082,"framing",0x0C
"ch1","data",2.587225,0.000082,"framing",0x6C
"ch1","data",2.5873585,0.000082,"framing",0x0C
"ch1","data",2.587492,0.000082,"framing",0x6C
"ch1","data",2.5876255,0.000082,"framing",0x6C
"ch1","data",2.587759,0.000082,,0x6C
"ch1","data",2.5878655,0.000082,"framing",0x60
"ch1","data",2.5879725,0.000082,,0x02
"ch1","data",2.588066,0.000082,,0x1C
"ch1","data",2.588173,0.000082,"framing",0x63
"ch1","data",2.5883065,0.000082,"framing",0x93
"ch1","data",2.58844,0.000082,"framing",0x13
"ch1","data",2.5885735,0.000082,"framing",0x03
"ch1","data",2.5886935,0.000082,,0x0C
"ch1","data",2.588787,0.000082,"framing",0x9F
"ch1","data",2.588907,0.000082,,0x7C
"ch1","data",2.5890005,0.000082,,0x02
"ch1","data",2.5891075,0.000082,"framing",0x73
"ch1","data",2.589241,0.000082,"framing",0x93
"ch1","data",2.5893745,0.000082,"framing",0x03
"ch1","data",2.5894945,0.000082,,0x6C
"ch1","data",2.589588,0.000082,"framing",0x9C
"ch1","data",2.5897345,0.000082,,0x6E
"ch1","data",2.589828,0.000082,"framing",0xE0
"ch1","data",2.589935,0.000082,,0x0C
"ch1","data",2.590042,0.000082,,0x83
"ch1","data",2.590135,0.000082,,0x6E
"ch1","data",2.5902285,0.000082,"framing",0xE2
"ch1","data",2.5903355,0.000082,,0x00
"ch1","data",2.590429,0.000082,"framing",0x0C
"ch1","data",2.5905625,0.000082,,0x6C
"ch1","data",2.590669,0.000082,"framing",0x60
"ch1","data",2.590776,0.000082,,0x02
"ch1","data",2.5908695,0.000082,,0x8C
"ch1","data",2.590976,0.000082,"framing",0xE2
"ch1","data",2.5911095,0.000082,,0x72
"ch1","data",2.5912165,0.000082,"framing",0x92
"ch1","data",2.5913635,0.000082,"framing",0x6C
"ch1","data",2.591497,0.000082,"framing",0x8C
"ch1","data",2.5916305,0.000082,,0x6C
"ch1","data",2.5917505,0.000082,"framing",0x12
"ch1","data",2.5918975,0.000082,"framing",0x8C
"ch1","data",2.592031,0.000082,"framing",0x0C
"ch1","data",2.5921645,0.000082,"framing",0x0C
"ch1","data",2.592298,0.000082,"framing",0x0C
"ch1","data",2.5924315,0.000082,,0x6C
"ch1","data",2.592538,0.000082,"framing",0x60
"ch1","data",2.592645,0.000082,,0x02
"ch1","data",2.5927385,0.000082,,0x8C
"ch1","data",2.592845,0.000082,"framing",0xE2
"ch1","data",2.5929785,0.000082,,0x72
"ch1","data",2.5930855,0.000082,"framing",0x92
"ch1","data",2.5932325,0.000082,"framing",0x6C
"ch1","data",2.593366,0.000082,"framing",0xEC
"ch1","data",2.5934995,0.000082,,0x6C
"ch1","data",2.5936195,0.000082,"framing",0x12
"ch1","data",2.5937665,0.000082,"framing",0x8C
"ch1","data",2.5939,0.000082,"framing",0x0C
"ch1","data",2.5940335,0.000082,"framing",0x0C
"ch1","data",2.594167,0.000082,"framing",0x0C
"ch1","data",2.5943005,0.000082,,0x6C
"ch1","data",2.594407,0.000082,"framing",0x60
"ch1","data",2.594514,0.000082,,0x02
"ch1","data",2.5946075,0.000082,,0x8C
"ch1","data",2.594714,0.000082,"framing",0xE2
"ch1","data",2.5948475,0.000082,,0x72
"ch1","data",2.5949545,0.000082,"framing",0x92
"ch1","data",2.5951015,0.000082,"framing",0x6C
"ch1","data",2.595235,0.000082,,0x0C
"ch1","data",2.5953285,0.000082,"framing",0x8F
"ch1","data",2.595435,0.000082,"framing",0x9E
"ch1","data",2.595542,0.000082,"framing",0x80
"ch1","data",2.595677,0.000082,,0x0D
"ch1","data",2.595764,0.000082,,0x0A
"ch1","data",2.5958505,0.000082,,0x53
"ch1","data",2.5959375,0.000082,,0x79
"ch1","data",2.596024,0.000082,,0x73
"ch1","data",2.596111,0.000082,,0x74
"ch1","data",2.5961975,0.000082,,0x65
"ch1","data",2.5962845,0.000082,,0x6D
"ch1","data",2.596371,0.000082,,0x20
"ch1","data",2.596458,0.000082,,0x69
"ch1","data",2.5965445,0.000082,,0x6E
"ch1","data",2.5966315,0.000082,,0x69
"ch1","data",2.596718,0.000082,,0x74
"ch1","data",2.596805,0.000082,,0x2E
"ch1","data",2.5968915,0.000082,,0x2E
"ch1","data",2.5969785,0.000082,,0x2E
"ch1","data",2.597065,0.000082,,0x0D
"ch1","data",2.597152,0.000082,,0x0A
